28
Akron
Bismarck
Bloomington
Chicago
Cincinnati
Columbus
Dayton
DesMoines
Detroit
Evansville
FortWayne
Gary
GrandRapids
Indianapolis
Kalamazoo
Louisville
Milwaukee
Minneapolis
Nashville
Omaha
Pierre
Saginaw
SouthBend
SaintLouis
TerreHaute
Toledo
Winnepeg
Youngstown
1 6 114
1 26 137
1 28 38
2 8 670
2 17 758
2 18 427
2 20 581
2 21 211
2 27 369
3 10 119
3 11 174
3 12 198
3 14 51
3 23 198
3 25 58
4 16 269
4 17 74
4 18 355
4 24 262
5 6 80
5 7 30
5 9 230
5 14 115
5 16 83
6 7 70
6 26 110
7 14 100
7 26 120
8 17 361
8 18 252
8 20 132
8 21 492
8 27 680
9 13 147
9 15 135
9 16 306
9 22 98
9 26 58
10 11 190
10 12 277
10 14 168
10 23 303
10 25 113
11 12 132
11 14 121
11 23 79
11 25 201
12 14 153
12 23 58
12 25 164
13 15 56
13 22 113
13 26 167
14 15 120
14 23 140
14 25 71
15 22 137
15 26 133
16 17 348
16 19 151
16 24 242
17 18 332
17 20 493
17 21 690
17 27 759
18 19 695
18 20 357
18 21 394
18 27 431
20 21 391
20 27 650
21 27 521
22 26 142
23 25 196
-1 0 0
